client_id,session_id,c_ip,company_size,country,country_group,city,latitude,longitude,market_priority,market_saturation_index,industry,service_type,service_category,marketing_channel,campaign_name,sales_rep_id,sales_rep_name,sales_team,monthly_rep_target,inquiry_date,demo_date,proposal_date,close_date,current_stage,has_inquiry,has_demo,has_proposal,converted,lead_score,conversion_probability,actual_revenue,forecast_revenue,target_revenue,revenue_gap,sales_cycle_days,currency,web_visit_count,inquiry_submit_count,demo_request_count,ai_assistant_request_count,contract_confirmation_count,avg_response_time_ms,web_error_count,total_web_events,lead_quality,total_page_views,high_intent_hits,unique_pages_visited,avg_web_response_ms,web_error_hits,first_web_event,last_web_event,intent_score,commercial_readiness_score,priority_band
CL10001,SESS70001,196.156.140.245,Micro,South Africa,SADC,Pretoria,-25.7479,28.2293,High,0.64,Financial Services,Executive Cyber Training,Training,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR004,Thato,South Africa Enterprise,460000,2025-05-28,,,,Inquiry,1,0,0,0,53,0.3095,0.0,4763.17,3385.8,-3385.8,,BWP,6,1,0,0,0,397.4,0,7,Medium,7,3,4,397.4,0,2025-05-28T17:58:00,2025-05-29T06:28:00,44,49,Nurture
CL10002,SESS70002,174.25.116.191,Small,Botswana,SADC,Maun,-19.9833,23.4167,High,0.42,Logistics,SME Security Package,SME,Email Nurture,SME Security Education Series,SR004,Thato,South Africa Enterprise,460000,2025-04-02,2025-04-04,2025-04-14,,Proposal Sent,1,1,1,0,63,0.2908,0.0,5633.37,4262.54,-4262.54,,BWP,4,1,1,0,0,551.3,0,7,Medium,7,4,6,551.3,0,2025-04-02T19:21:00,2025-04-03T03:05:00,54,59,Nurture
CL10003,SESS70003,164.233.158.193,Micro,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Government,SME Security Package,SME,Industry Conference,Johannesburg FinTech Cyber Briefing,SR001,Naledi,Botswana Core,420000,2025-06-10,2025-06-11,2025-06-14,,Proposal Sent,1,1,1,0,45,0.1702,0.0,3253.03,4205.52,-4205.52,,BWP,4,1,1,1,0,421.0,0,8,Low,8,6,8,421.0,0,2025-06-10T20:54:00,2025-06-11T08:46:00,76,59,Nurture
CL10004,SESS70004,191.155.101.31,Small,Mozambique,SADC,Maputo,-25.9692,32.5732,Medium,0.31,Telecommunications,Fraud Monitoring Solution,Platform,Referral,Partner Referral Programme,SR004,Thato,South Africa Enterprise,460000,2025-05-16,2025-05-19,2025-05-25,,Proposal Sent,1,1,1,0,68,0.347,0.0,19992.15,12676.44,-12676.44,,BWP,5,1,1,1,0,446.9,1,9,High,9,6,8,446.9,1,2025-05-16T08:43:00,2025-05-16T19:53:00,76,72,Sales Ready
CL10005,SESS70005,163.96.159.12,Small,Kenya,Wider Africa,Nairobi,-1.2921,36.8219,High,0.58,Legal Services,Threat Detection Platform,Platform,Google Search,Search Ads - Cybersecurity Help,SR005,Amogelang,Regional Growth,410000,2025-01-23,,,,Inquiry,1,0,0,0,44,0.0894,0.0,4864.68,11969.1,-11969.1,,BWP,3,1,0,0,0,428.8,0,4,Low,4,2,4,428.8,0,2025-01-23T13:12:00,2025-01-23T16:45:00,28,37,Low Priority
CL10006,SESS70006,136.84.62.137,Medium,Lesotho,SADC,Maseru,-29.3158,27.4869,Emerging,0.28,Government,Executive Cyber Training,Training,Referral,Partner Referral Programme,SR001,Naledi,Botswana Core,420000,2025-06-27,,,,Inquiry,1,0,0,0,47,0.1863,0.0,4510.91,5326.99,-5326.99,,BWP,3,1,0,1,0,398.2,0,5,Medium,5,3,5,398.2,0,2025-06-27T11:51:00,2025-06-27T17:21:00,40,44,Low Priority
CL10007,SESS70007,130.175.36.29,Small,Germany,International,Berlin,52.52,13.405,High,0.69,Financial Services,SME Security Package,SME,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR008,Lesedi,International Expansion,500000,2025-05-26,2025-06-01,2025-06-04,2025-06-14,Contract Confirmed,1,1,1,1,67,0.4412,13925.16,12690.3,6327.75,7597.41,19.0,BWP,4,1,1,0,1,490.0,0,8,High,8,5,7,490.0,0,2025-05-26T16:31:00,2025-05-27T01:51:00,66,67,Sales Ready
CL10008,SESS70008,95.67.77.148,Small,Kenya,Wider Africa,Nairobi,-1.2921,36.8219,High,0.58,Healthcare,SME Security Package,SME,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR006,Boitumelo,Regional Growth,400000,2025-05-30,,,,Inquiry,1,0,0,0,76,0.4357,0.0,9346.6,4719.0,-4719.0,,BWP,5,1,0,1,0,355.4,3,7,High,7,2,4,355.4,3,2025-05-30T12:21:00,2025-05-30T23:07:00,28,54,Nurture
CL10009,SESS70009,121.98.48.165,Medium,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Mining,SME Security Package,SME,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR002,Kagiso,Botswana Core,390000,2025-01-30,2025-02-02,2025-02-12,,Proposal Sent,1,1,1,0,75,0.4646,0.0,14551.91,6890.4,-6890.4,,BWP,3,1,1,2,0,397.5,0,8,High,8,6,7,397.5,0,2025-01-30T08:48:00,2025-01-30T20:12:00,76,75,Sales Ready
CL10010,SESS70010,54.169.190.26,Medium,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Government,Threat Detection Platform,Platform,LinkedIn Campaign,B2B Security Decision-Makers,SR002,Kagiso,Botswana Core,390000,2025-04-04,,,,Inquiry,1,0,0,0,41,0.0867,0.0,8563.31,21728.52,-21728.52,,BWP,6,1,0,1,0,300.8,0,8,Low,8,5,5,300.8,0,2025-04-04T17:14:00,2025-04-05T02:54:00,66,52,Nurture
