client_id,session_id,c_ip,company_size,country,country_group,city,latitude,longitude,market_priority,market_saturation_index,industry,service_type,service_category,marketing_channel,campaign_name,sales_rep_id,sales_rep_name,sales_team,monthly_rep_target,inquiry_date,demo_date,proposal_date,close_date,current_stage,has_inquiry,has_demo,has_proposal,converted,lead_score,conversion_probability,actual_revenue,forecast_revenue,target_revenue,revenue_gap,sales_cycle_days,currency,inquiry_submit_count,total_web_events,lead_quality,total_page_views,unique_pages_visited,avg_web_response_ms,web_error_hits,intent_score,commercial_readiness_score,priority_band,total_web_requests,unique_sessions,web_visit_count,demo_request_count,ai_assistant_request_count,promotional_event_count,contract_confirmation_count,proposal_download_count,high_intent_hits,web_error_count,avg_response_time_ms,first_web_event,last_web_event,top_page
CL10001,SESS70001,196.156.140.245,Micro,South Africa,SADC,Pretoria,-25.7479,28.2293,High,0.64,Financial Services,Executive Cyber Training,Training,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR004,Thato,South Africa Enterprise,460000,2025-05-28,,,,Inquiry,1,0,0,0,53,0.3095,0.0,4763.17,3385.8,-3385.8,,BWP,1,7,Medium,7,4,397.4,0,44,49,Nurture,15,15,15,0,1,0,0,0,1,0,480.3,2025-01-05 00:43:59,2025-05-17 19:35:53,/services
CL10002,SESS70002,174.25.116.191,Small,Botswana,SADC,Maun,-19.9833,23.4167,High,0.42,Logistics,SME Security Package,SME,Email Nurture,SME Security Education Series,SR004,Thato,South Africa Enterprise,460000,2025-04-02,2025-04-04,2025-04-14,,Proposal Sent,1,1,1,0,63,0.2908,0.0,5633.37,4262.54,-4262.54,,BWP,1,7,Medium,7,6,551.3,0,54,59,Nurture,9,9,9,0,3,0,0,0,3,0,477.7,2025-02-02 08:33:59,2025-06-22 14:02:57,/ai-assistant
CL10003,SESS70003,164.233.158.193,Micro,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Government,SME Security Package,SME,Industry Conference,Johannesburg FinTech Cyber Briefing,SR001,Naledi,Botswana Core,420000,2025-06-10,2025-06-11,2025-06-14,,Proposal Sent,1,1,1,0,45,0.1702,0.0,3253.03,4205.52,-4205.52,,BWP,1,8,Low,8,8,421.0,0,76,59,Nurture,10,10,10,0,1,0,0,3,4,0,540.8,2025-01-02 07:44:17,2025-06-29 23:47:12,/proposal/download
CL10004,SESS70004,191.155.101.31,Small,Mozambique,SADC,Maputo,-25.9692,32.5732,Medium,0.31,Telecommunications,Fraud Monitoring Solution,Platform,Referral,Partner Referral Programme,SR004,Thato,South Africa Enterprise,460000,2025-05-16,2025-05-19,2025-05-25,,Proposal Sent,1,1,1,0,68,0.347,0.0,19992.15,12676.44,-12676.44,,BWP,1,9,High,9,8,446.9,1,76,72,Sales Ready,13,13,13,4,1,0,0,1,6,1,669.6,2025-01-05 23:01:08,2025-05-29 16:54:25,/
CL10005,SESS70005,163.96.159.12,Small,Kenya,Wider Africa,Nairobi,-1.2921,36.8219,High,0.58,Legal Services,Threat Detection Platform,Platform,Google Search,Search Ads - Cybersecurity Help,SR005,Amogelang,Regional Growth,410000,2025-01-23,,,,Inquiry,1,0,0,0,44,0.0894,0.0,4864.68,11969.1,-11969.1,,BWP,1,4,Low,4,4,428.8,0,28,37,Low Priority,12,12,12,0,2,1,0,0,3,0,471.9,2025-02-03 09:07:59,2025-06-23 08:40:25,/
CL10006,SESS70006,136.84.62.137,Medium,Lesotho,SADC,Maseru,-29.3158,27.4869,Emerging,0.28,Government,Executive Cyber Training,Training,Referral,Partner Referral Programme,SR001,Naledi,Botswana Core,420000,2025-06-27,,,,Inquiry,1,0,0,0,47,0.1863,0.0,4510.91,5326.99,-5326.99,,BWP,1,5,Medium,5,5,398.2,0,40,44,Low Priority,6,6,6,0,0,1,0,0,1,0,358.3,2025-01-10 06:14:58,2025-06-29 17:01:19,/
CL10007,SESS70007,130.175.36.29,Small,Germany,International,Berlin,52.52,13.405,High,0.69,Financial Services,SME Security Package,SME,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR008,Lesedi,International Expansion,500000,2025-05-26,2025-06-01,2025-06-04,2025-06-14,Contract Confirmed,1,1,1,1,67,0.4412,13925.16,12690.3,6327.75,7597.41,19.0,BWP,1,8,High,8,7,490.0,0,66,67,Sales Ready,3,3,3,0,0,0,1,0,1,0,220.7,2025-05-08 09:44:51,2025-06-29 15:43:35,/
CL10008,SESS70008,95.67.77.148,Small,Kenya,Wider Africa,Nairobi,-1.2921,36.8219,High,0.58,Healthcare,SME Security Package,SME,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR006,Boitumelo,Regional Growth,400000,2025-05-30,,,,Inquiry,1,0,0,0,76,0.4357,0.0,9346.6,4719.0,-4719.0,,BWP,1,7,High,7,4,355.4,3,28,54,Nurture,5,5,5,0,2,0,0,0,2,0,500.4,2025-02-13 19:15:07,2025-04-03 06:20:58,/ai-assistant
CL10009,SESS70009,121.98.48.165,Medium,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Mining,SME Security Package,SME,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR002,Kagiso,Botswana Core,390000,2025-01-30,2025-02-02,2025-02-12,,Proposal Sent,1,1,1,0,75,0.4646,0.0,14551.91,6890.4,-6890.4,,BWP,1,8,High,8,7,397.5,0,76,75,Sales Ready,11,11,11,0,3,0,0,0,3,1,518.1,2025-01-10 00:47:25,2025-06-06 19:04:09,/
CL10010,SESS70010,54.169.190.26,Medium,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Government,Threat Detection Platform,Platform,LinkedIn Campaign,B2B Security Decision-Makers,SR002,Kagiso,Botswana Core,390000,2025-04-04,,,,Inquiry,1,0,0,0,41,0.0867,0.0,8563.31,21728.52,-21728.52,,BWP,1,8,Low,8,5,300.8,0,66,52,Nurture,6,6,6,0,1,1,0,0,2,0,471.8,2025-02-14 13:34:08,2025-06-30 12:16:43,/
CL10011,SESS70011,159.97.212.23,Large,Ghana,Wider Africa,Accra,5.6037,-0.187,Medium,0.45,Logistics,Fraud Monitoring Solution,Platform,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR005,Amogelang,Regional Growth,410000,2025-03-21,2025-03-26,,,Demo Requested,1,1,0,0,52,0.1777,0.0,12557.08,15544.32,-15544.32,,BWP,1,5,Medium,5,5,443.8,1,38,46,Nurture,8,8,8,0,1,1,0,0,2,0,483.8,2025-01-01 15:40:07,2025-06-22 07:03:32,/services
CL10012,SESS70012,181.181.216.141,Medium,Kenya,Wider Africa,Nairobi,-1.2921,36.8219,High,0.58,Hospitality,Fraud Monitoring Solution,Platform,Email Nurture,SME Security Education Series,SR005,Amogelang,Regional Growth,410000,2025-06-20,,,,Inquiry,1,0,0,0,50,0.1439,0.0,7079.52,10824.0,-10824.0,,BWP,1,5,Medium,5,5,478.8,0,40,46,Nurture,10,10,10,0,4,0,0,0,4,0,433.4,2025-01-14 04:49:07,2025-06-12 16:25:05,/ai-assistant
CL10013,SESS70013,130.200.23.136,Medium,Zambia,SADC,Ndola,-12.9587,28.6366,Medium,0.38,Retail,Cloud Security Analytics,Analytics,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR002,Kagiso,Botswana Core,390000,2025-05-07,,,,Inquiry,1,0,0,0,61,0.2899,0.0,13832.62,10495.98,-10495.98,,BWP,1,7,Medium,7,5,358.6,0,64,62,Nurture,9,9,9,0,1,0,0,0,1,0,482.3,2025-01-15 07:09:01,2025-06-13 05:00:32,/contact
CL10014,SESS70014,188.69.102.80,Small,Zambia,SADC,Ndola,-12.9587,28.6366,Medium,0.38,Retail,Executive Cyber Training,Training,Referral,Partner Referral Programme,SR004,Thato,South Africa Enterprise,460000,2025-06-04,,,,Inquiry,1,0,0,0,39,0.1332,0.0,2025.45,3345.17,-3345.17,,BWP,1,11,Low,11,6,532.5,2,88,61,Nurture,9,9,9,0,0,0,0,0,0,2,699.4,2025-01-03 19:44:37,2025-05-07 23:41:52,/
CL10015,SESS70015,177.191.94.64,Small,South Africa,SADC,Pretoria,-25.7479,28.2293,High,0.64,Logistics,Threat Detection Platform,Platform,Google Search,Search Ads - Cybersecurity Help,SR003,Lorato,South Africa Enterprise,480000,2025-04-03,2025-04-06,2025-04-14,,Proposal Sent,1,1,1,0,77,0.2915,0.0,17507.27,13213.89,-13213.89,,BWP,1,10,High,10,7,420.6,0,100,87,Urgent Follow-up,10,10,10,1,2,0,0,1,4,1,602.6,2025-01-01 18:36:51,2025-06-09 15:44:37,/
CL10016,SESS70016,150.194.143.147,Enterprise,Botswana,SADC,Francistown,-21.1702,27.5079,High,0.42,Logistics,SME Security Package,SME,Google Search,Search Ads - Cybersecurity Help,SR004,Thato,South Africa Enterprise,460000,2025-02-21,2025-02-25,,,Demo Requested,1,1,0,0,77,0.4036,0.0,15539.0,8470.44,-8470.44,,BWP,1,7,High,7,5,492.9,0,64,71,Sales Ready,9,9,9,3,1,0,0,0,4,0,475.1,2025-02-10 16:31:52,2025-06-27 16:16:42,/schedule-demo
CL10017,SESS70017,48.195.99.161,Small,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Retail,Threat Detection Platform,Platform,Direct Visit,Organic Website Visit,SR002,Kagiso,Botswana Core,390000,2025-04-22,2025-04-24,,,Demo Requested,1,1,0,0,60,0.1793,0.0,11120.92,13644.77,-13644.77,,BWP,1,8,Medium,8,6,421.2,0,66,63,Nurture,11,11,11,0,0,0,0,0,0,0,332.5,2025-01-22 09:43:28,2025-06-26 04:36:46,/services
CL10018,SESS70018,98.245.106.24,Medium,South Africa,SADC,Pretoria,-25.7479,28.2293,High,0.64,Mining,AI Security Audit,Advisory,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR001,Naledi,Botswana Core,420000,2025-01-16,2025-01-17,2025-01-24,,Proposal Sent,1,1,1,0,60,0.2774,0.0,14771.17,11713.68,-11713.68,,BWP,1,6,Medium,6,6,355.8,0,52,56,Nurture,17,17,17,3,2,0,0,1,6,1,414.1,2025-01-01 09:55:33,2025-06-28 14:14:51,/pricing
CL10019,SESS70019,77.254.9.232,Medium,Zimbabwe,SADC,Harare,-17.8252,31.0335,Medium,0.46,Logistics,Cloud Security Analytics,Analytics,LinkedIn Campaign,B2B Security Decision-Makers,SR004,Thato,South Africa Enterprise,460000,2025-06-05,2025-06-12,,,Demo Requested,1,1,0,0,73,0.3485,0.0,16103.74,10164.53,-10164.53,,BWP,1,5,High,5,4,404.6,0,30,54,Nurture,10,10,10,3,2,0,0,0,5,0,480.9,2025-01-17 03:44:49,2025-06-15 21:51:59,/schedule-demo
CL10020,SESS70020,95.188.85.201,Medium,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Financial Services,Cloud Security Analytics,Analytics,Email Nurture,SME Security Education Series,SR004,Thato,South Africa Enterprise,460000,2025-05-05,2025-05-08,2025-05-18,2025-05-30,Contract Confirmed,1,1,1,1,66,0.2969,88943.49,18636.41,13810.5,75132.99,25.0,BWP,1,8,High,8,7,512.6,0,76,70,Sales Ready,14,14,14,0,2,0,2,1,5,1,630.9,2025-01-02 15:28:53,2025-06-26 06:30:12,/
CL10021,SESS70021,99.30.98.194,Medium,Botswana,SADC,Francistown,-21.1702,27.5079,High,0.42,Education,Fraud Monitoring Solution,Platform,LinkedIn Campaign,B2B Security Decision-Makers,SR002,Kagiso,Botswana Core,390000,2025-05-25,2025-05-26,,,Demo Requested,1,1,0,0,74,0.3728,0.0,20536.5,12117.6,-12117.6,,BWP,1,9,High,9,5,388.6,1,76,75,Sales Ready,8,8,8,1,1,1,0,0,3,0,437.4,2025-01-08 11:39:04,2025-06-22 00:04:28,/pricing
CL10022,SESS70022,90.73.129.52,Small,Botswana,SADC,Gaborone,-24.6282,25.9231,High,0.42,Government,Executive Cyber Training,Training,LinkedIn Campaign,B2B Security Decision-Makers,SR003,Lorato,South Africa Enterprise,480000,2025-03-18,2025-03-22,2025-04-01,,Proposal Sent,1,1,1,0,86,0.5745,0.0,10850.79,4155.05,-4155.05,,BWP,1,10,Hot,10,7,344.0,0,100,92,Urgent Follow-up,16,16,16,3,3,0,0,1,7,2,567.1,2025-01-06 09:26:00,2025-06-04 13:44:16,/services
CL10023,SESS70023,96.100.108.118,Small,Ghana,Wider Africa,Accra,5.6037,-0.187,Medium,0.45,Retail,Cloud Security Analytics,Analytics,Google Search,Search Ads - Cybersecurity Help,SR005,Amogelang,Regional Growth,410000,2025-06-26,2025-06-28,,,Demo Requested,1,1,0,0,75,0.3074,0.0,10593.08,7580.43,-7580.43,,BWP,1,6,High,6,5,495.5,0,42,60,Nurture,7,7,7,1,0,0,0,0,1,0,332.4,2025-01-25 23:45:51,2025-06-17 16:38:13,/pricing
CL10024,SESS70024,71.106.122.176,Small,Germany,International,Berlin,52.52,13.405,High,0.69,Government,Fraud Monitoring Solution,Platform,Cybersecurity Webinar,Gaborone AI Hub Webinar,SR007,Neo,International Expansion,520000,2025-06-15,2025-06-21,,,Demo Requested,1,1,0,0,61,0.3339,0.0,21760.12,14336.15,-14336.15,,BWP,1,7,Medium,7,6,420.1,0,54,58,Nurture,12,12,12,2,0,0,0,0,2,0,510.8,2025-02-17 18:37:25,2025-06-17 09:35:08,/
CL10025,SESS70025,127.227.107.226,Medium,United States,International,New York,40.7128,-74.006,High,0.76,Hospitality,Threat Detection Platform,Platform,Direct Visit,Organic Website Visit,SR008,Lesedi,International Expansion,500000,2025-05-29,,,,Inquiry,1,0,0,0,67,0.2376,0.0,17820.27,16497.58,-16497.58,,BWP,1,5,High,5,4,506.4,0,40,55,Nurture,4,4,4,0,1,0,0,0,1,0,503.0,2025-03-08 06:24:35,2025-06-04 16:31:31,/
CL10026,SESS70026,128.165.138.130,Small,Zambia,SADC,Lusaka,-15.3875,28.3228,Medium,0.38,Mining,SME Security Package,SME,Google Search,Search Ads - Cybersecurity Help,SR003,Lorato,South Africa Enterprise,480000,2025-02-14,2025-02-17,,,Demo Requested,1,1,0,0,52,0.183,0.0,4470.44,5374.51,-5374.51,,BWP,1,5,Medium,5,5,434.2,0,40,47,Nurture,12,12,12,2,0,0,0,0,2,0,537.8,2025-01-28 16:37:18,2025-06-02 17:56:11,/pricing
CL10027,SESS70027,98.26.239.254,Small,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Retail,Executive Cyber Training,Training,Google Search,Search Ads - Cybersecurity Help,SR001,Naledi,Botswana Core,420000,2025-04-07,2025-04-11,,,Demo Requested,1,1,0,0,45,0.1733,0.0,2635.46,3345.17,-3345.17,,BWP,1,9,Low,9,7,460.0,0,78,60,Nurture,7,7,7,1,1,1,0,0,3,2,546.0,2025-01-13 13:02:31,2025-04-25 15:02:15,/
CL10028,SESS70028,162.170.3.131,Medium,Lesotho,SADC,Maseru,-29.3158,27.4869,Emerging,0.28,Education,SME Security Package,SME,Referral,Partner Referral Programme,SR001,Naledi,Botswana Core,420000,2025-01-11,2025-01-18,,,Demo Requested,1,1,0,0,65,0.3132,0.0,7187.79,5049.0,-5049.0,,BWP,1,8,Medium,8,6,455.6,0,66,65,Nurture,3,3,3,0,0,0,0,0,0,1,365.7,2025-01-25 23:49:38,2025-05-06 03:12:30,/
CL10029,SESS70029,109.105.122.217,Medium,Ghana,Wider Africa,Accra,5.6037,-0.187,Medium,0.45,Mining,AI Security Audit,Advisory,LinkedIn Campaign,B2B Security Decision-Makers,SR006,Boitumelo,Regional Growth,400000,2025-02-05,2025-02-11,,,Demo Requested,1,1,0,0,72,0.2803,0.0,13819.64,10846.0,-10846.0,,BWP,1,8,High,8,6,435.6,0,76,74,Sales Ready,5,5,5,1,0,0,0,0,1,0,277.6,2025-01-14 13:31:16,2025-06-01 06:54:39,/services
CL10030,SESS70030,164.206.180.6,Medium,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Legal Services,Cloud Security Analytics,Analytics,Industry Conference,Johannesburg FinTech Cyber Briefing,SR004,Thato,South Africa Enterprise,460000,2025-05-14,2025-05-17,,,Demo Requested,1,1,0,0,62,0.304,0.0,13741.51,9943.56,-9943.56,,BWP,1,6,Medium,6,5,492.0,0,52,58,Nurture,9,9,9,1,1,0,0,0,2,0,386.4,2025-01-02 12:27:18,2025-06-25 18:04:38,/pricing
CL10031,SESS70031,158.238.40.83,Large,Ethiopia,Wider Africa,Addis Ababa,8.9806,38.7578,Emerging,0.32,Legal Services,Fraud Monitoring Solution,Platform,Industry Conference,Johannesburg FinTech Cyber Briefing,SR006,Boitumelo,Regional Growth,400000,2025-05-23,2025-05-30,2025-06-04,,Proposal Sent,1,1,1,0,81,0.3185,0.0,22016.02,15206.4,-15206.4,,BWP,1,6,Hot,6,5,473.8,0,42,63,Nurture,11,11,11,0,1,0,0,0,1,0,548.4,2025-01-12 10:48:13,2025-06-01 07:07:45,/
CL10032,SESS70032,57.75.79.7,Enterprise,Ghana,Wider Africa,Accra,5.6037,-0.187,Medium,0.45,Retail,Executive Cyber Training,Training,Industry Conference,Johannesburg FinTech Cyber Briefing,SR006,Boitumelo,Regional Growth,400000,2025-06-26,2025-07-02,2025-07-11,,Proposal Sent,1,1,1,0,79,0.4999,0.0,13987.08,6155.05,-6155.05,,BWP,1,7,High,7,6,434.4,0,54,68,Sales Ready,4,4,4,0,0,0,0,1,1,0,321.8,2025-01-01 11:48:43,2025-06-04 16:48:38,/
CL10033,SESS70033,150.68.249.197,Enterprise,South Africa,SADC,Johannesburg,-26.2041,28.0473,High,0.64,Telecommunications,SME Security Package,SME,Referral,Partner Referral Programme,SR003,Lorato,South Africa Enterprise,480000,2025-03-12,2025-03-19,2025-03-23,,Proposal Sent,1,1,1,0,79,0.5154,0.0,24588.89,10495.98,-10495.98,,BWP,1,10,High,10,7,461.0,0,80,79,Sales Ready,15,15,15,4,1,0,0,0,5,0,490.3,2025-01-09 19:12:18,2025-06-28 22:45:28,/schedule-demo
CL10034,SESS70034,83.10.63.90,Medium,United Kingdom,International,London,51.5072,-0.1276,High,0.71,Telecommunications,Executive Cyber Training,Training,Referral,Partner Referral Programme,SR008,Lesedi,International Expansion,500000,2025-03-21,2025-03-27,2025-03-31,2025-04-16,Contract Confirmed,1,1,1,1,67,0.5712,24217.25,14600.37,5622.94,18594.31,26.0,BWP,1,9,High,9,8,463.4,0,78,72,Sales Ready,10,10,10,4,0,0,0,1,5,3,565.2,2025-01-25 08:51:50,2025-06-20 09:09:13,/schedule-demo
CL10035,SESS70035,142.249.235.244,Micro,Namibia,SADC,Windhoek,-22.5609,17.0658,Medium,0.35,Logistics,Cloud Security Analytics,Analytics,Referral,Partner Referral Programme,SR003,Lorato,South Africa Enterprise,480000,2025-04-08,,,,Inquiry,1,0,0,0,94,0.475,0.0,13167.88,6098.72,-6098.72,,BWP,1,5,Hot,5,5,397.6,0,40,70,Sales Ready,13,13,13,0,1,0,0,0,1,1,506.1,2025-01-07 11:02:19,2025-06-07 23:39:16,/contact
