client_id,total_web_requests,unique_sessions,web_visit_count,demo_request_count,ai_assistant_request_count,promotional_event_count,contract_confirmation_count,proposal_download_count,high_intent_hits,web_error_count,avg_response_time_ms,first_web_event,last_web_event,top_page
CL10001,15,15,15,0,1,0,0,0,1,0,480.3,2025-01-05 00:43:59,2025-05-17 19:35:53,/services
CL10002,9,9,9,0,3,0,0,0,3,0,477.7,2025-02-02 08:33:59,2025-06-22 14:02:57,/ai-assistant
CL10003,10,10,10,0,1,0,0,3,4,0,540.8,2025-01-02 07:44:17,2025-06-29 23:47:12,/proposal/download
CL10004,13,13,13,4,1,0,0,1,6,1,669.6,2025-01-05 23:01:08,2025-05-29 16:54:25,/
CL10005,12,12,12,0,2,1,0,0,3,0,471.9,2025-02-03 09:07:59,2025-06-23 08:40:25,/
CL10006,6,6,6,0,0,1,0,0,1,0,358.3,2025-01-10 06:14:58,2025-06-29 17:01:19,/
CL10007,3,3,3,0,0,0,1,0,1,0,220.7,2025-05-08 09:44:51,2025-06-29 15:43:35,/
CL10008,5,5,5,0,2,0,0,0,2,0,500.4,2025-02-13 19:15:07,2025-04-03 06:20:58,/ai-assistant
CL10009,11,11,11,0,3,0,0,0,3,1,518.1,2025-01-10 00:47:25,2025-06-06 19:04:09,/
CL10010,6,6,6,0,1,1,0,0,2,0,471.8,2025-02-14 13:34:08,2025-06-30 12:16:43,/
CL10011,8,8,8,0,1,1,0,0,2,0,483.8,2025-01-01 15:40:07,2025-06-22 07:03:32,/services
CL10012,10,10,10,0,4,0,0,0,4,0,433.4,2025-01-14 04:49:07,2025-06-12 16:25:05,/ai-assistant
CL10013,9,9,9,0,1,0,0,0,1,0,482.3,2025-01-15 07:09:01,2025-06-13 05:00:32,/contact
CL10014,9,9,9,0,0,0,0,0,0,2,699.4,2025-01-03 19:44:37,2025-05-07 23:41:52,/
CL10015,10,10,10,1,2,0,0,1,4,1,602.6,2025-01-01 18:36:51,2025-06-09 15:44:37,/
CL10016,9,9,9,3,1,0,0,0,4,0,475.1,2025-02-10 16:31:52,2025-06-27 16:16:42,/schedule-demo
CL10017,11,11,11,0,0,0,0,0,0,0,332.5,2025-01-22 09:43:28,2025-06-26 04:36:46,/services
CL10018,17,17,17,3,2,0,0,1,6,1,414.1,2025-01-01 09:55:33,2025-06-28 14:14:51,/pricing
CL10019,10,10,10,3,2,0,0,0,5,0,480.9,2025-01-17 03:44:49,2025-06-15 21:51:59,/schedule-demo
CL10020,14,14,14,0,2,0,2,1,5,1,630.9,2025-01-02 15:28:53,2025-06-26 06:30:12,/
CL10021,8,8,8,1,1,1,0,0,3,0,437.4,2025-01-08 11:39:04,2025-06-22 00:04:28,/pricing
CL10022,16,16,16,3,3,0,0,1,7,2,567.1,2025-01-06 09:26:00,2025-06-04 13:44:16,/services
CL10023,7,7,7,1,0,0,0,0,1,0,332.4,2025-01-25 23:45:51,2025-06-17 16:38:13,/pricing
CL10024,12,12,12,2,0,0,0,0,2,0,510.8,2025-02-17 18:37:25,2025-06-17 09:35:08,/
CL10025,4,4,4,0,1,0,0,0,1,0,503.0,2025-03-08 06:24:35,2025-06-04 16:31:31,/
CL10026,12,12,12,2,0,0,0,0,2,0,537.8,2025-01-28 16:37:18,2025-06-02 17:56:11,/pricing
CL10027,7,7,7,1,1,1,0,0,3,2,546.0,2025-01-13 13:02:31,2025-04-25 15:02:15,/
CL10028,3,3,3,0,0,0,0,0,0,1,365.7,2025-01-25 23:49:38,2025-05-06 03:12:30,/
CL10029,5,5,5,1,0,0,0,0,1,0,277.6,2025-01-14 13:31:16,2025-06-01 06:54:39,/services
CL10030,9,9,9,1,1,0,0,0,2,0,386.4,2025-01-02 12:27:18,2025-06-25 18:04:38,/pricing
CL10031,11,11,11,0,1,0,0,0,1,0,548.4,2025-01-12 10:48:13,2025-06-01 07:07:45,/
CL10032,4,4,4,0,0,0,0,1,1,0,321.8,2025-01-01 11:48:43,2025-06-04 16:48:38,/
CL10033,15,15,15,4,1,0,0,0,5,0,490.3,2025-01-09 19:12:18,2025-06-28 22:45:28,/schedule-demo
CL10034,10,10,10,4,0,0,0,1,5,3,565.2,2025-01-25 08:51:50,2025-06-20 09:09:13,/schedule-demo
CL10035,13,13,13,0,1,0,0,0,1,1,506.1,2025-01-07 11:02:19,2025-06-07 23:39:16,/contact
CL10036,4,4,4,0,0,1,1,0,2,0,604.5,2025-02-26 13:03:31,2025-06-19 07:41:08,/contract/confirm
CL10037,7,7,7,1,2,0,0,0,3,0,372.4,2025-02-24 13:47:44,2025-06-21 00:52:31,/ai-assistant
CL10038,12,12,12,0,1,0,0,0,1,1,600.8,2025-01-27 04:16:17,2025-06-17 07:39:13,/case-studies
CL10039,10,10,10,0,0,0,0,0,0,1,437.1,2025-01-03 05:16:39,2025-06-10 17:33:11,/
CL10040,9,9,9,0,0,0,0,0,0,1,451.6,2025-01-22 01:02:24,2025-06-28 18:28:41,/
CL10041,5,5,5,0,2,0,0,0,2,0,456.2,2025-04-05 20:50:11,2025-06-20 16:07:32,/ai-assistant
CL10042,11,11,11,2,3,0,1,0,6,0,509.5,2025-01-01 14:27:24,2025-06-22 00:45:15,/
CL10043,5,5,5,0,1,0,0,0,1,1,981.6,2025-01-24 10:21:52,2025-06-06 23:11:27,/case-studies
CL10044,3,3,3,0,0,0,0,0,0,0,555.3,2025-01-09 10:50:27,2025-02-27 03:58:12,/
CL10045,9,9,9,1,0,0,0,0,1,1,508.8,2025-01-21 23:36:27,2025-06-13 06:04:10,/
CL10046,10,10,10,0,2,0,0,0,2,2,567.9,2025-01-02 04:26:55,2025-05-12 15:51:12,/
CL10047,8,8,8,0,0,1,0,0,1,1,846.8,2025-01-21 22:44:14,2025-06-13 05:55:05,/
CL10048,10,10,10,0,0,0,0,0,0,1,558.1,2025-01-08 15:51:50,2025-06-08 18:28:22,/
CL10049,14,14,14,4,0,1,0,0,5,1,486.7,2025-01-05 13:37:23,2025-06-01 22:07:02,/services
CL10050,6,6,6,0,0,0,0,0,0,0,377.7,2025-01-28 12:21:22,2025-05-12 21:14:18,/
CL10051,10,10,10,2,0,0,0,0,2,0,484.8,2025-01-13 07:04:10,2025-06-03 11:41:07,/case-studies
CL10052,8,8,8,0,1,1,0,0,2,1,486.0,2025-01-16 07:27:12,2025-06-27 01:19:52,/pricing
CL10053,7,7,7,0,1,0,0,0,1,0,438.4,2025-01-31 17:38:15,2025-06-18 16:47:19,/
CL10054,9,9,9,1,1,1,0,0,3,0,401.7,2025-01-24 00:49:19,2025-06-04 18:18:28,/
CL10055,12,12,12,2,0,0,0,0,2,0,590.8,2025-01-13 19:34:41,2025-06-30 01:01:24,/pricing
CL10056,6,6,6,3,0,0,0,1,4,0,419.2,2025-01-27 07:24:56,2025-06-25 15:31:42,/schedule-demo
CL10057,8,8,8,3,1,0,0,0,4,0,372.9,2025-01-28 20:49:08,2025-06-21 10:09:38,/schedule-demo
CL10058,2,2,2,0,0,0,0,0,0,0,325.0,2025-03-17 04:38:50,2025-06-20 04:01:08,/
CL10059,11,11,11,0,1,0,0,0,1,1,521.0,2025-01-12 04:09:05,2025-06-22 08:23:16,/
CL10060,11,11,11,2,0,1,1,1,5,1,513.5,2025-01-08 16:25:36,2025-06-19 01:43:52,/schedule-demo
CL10061,5,5,5,2,1,0,0,0,3,0,462.4,2025-02-18 20:49:15,2025-06-16 01:10:12,/schedule-demo
CL10062,13,13,13,4,0,1,1,2,8,0,446.9,2025-01-26 10:42:42,2025-06-27 04:39:23,/schedule-demo
CL10063,9,9,9,0,1,0,0,0,1,0,448.9,2025-01-24 11:03:58,2025-06-28 16:52:01,/
CL10064,8,8,8,3,0,0,1,1,5,0,655.0,2025-01-19 10:40:01,2025-06-30 09:19:13,/schedule-demo
CL10065,8,8,8,0,0,0,0,0,0,0,448.9,2025-01-20 11:17:19,2025-06-24 13:51:59,/
CL10066,6,6,6,1,0,0,0,0,1,1,529.3,2025-01-14 17:35:30,2025-05-20 02:13:00,/
CL10067,12,12,12,0,2,0,0,0,2,3,684.2,2025-01-03 07:42:17,2025-06-26 17:48:59,/
CL10068,7,7,7,1,0,0,0,0,1,0,484.3,2025-02-01 08:51:13,2025-06-03 21:53:48,/
CL10069,5,5,5,0,1,0,0,1,2,2,702.4,2025-01-15 22:16:10,2025-04-15 22:34:35,/case-studies
CL10070,7,7,7,0,0,0,0,1,1,0,528.4,2025-01-17 01:03:16,2025-06-05 01:32:13,/services
CL10071,9,9,9,1,1,0,0,0,2,0,535.2,2025-03-02 22:35:14,2025-06-14 06:29:39,/
CL10072,10,10,10,1,0,0,1,0,2,0,588.5,2025-01-06 01:16:27,2025-06-30 21:38:42,/services
CL10073,8,8,8,0,1,0,0,1,2,0,498.6,2025-01-03 04:48:54,2025-05-23 13:40:15,/
CL10074,8,8,8,1,0,0,0,0,1,0,473.0,2025-02-03 11:18:39,2025-05-08 22:55:04,/case-studies
CL10075,15,15,15,2,2,0,0,0,4,1,456.1,2025-01-13 23:27:27,2025-06-24 10:06:46,/pricing
CL10076,11,11,11,4,2,0,0,0,6,0,395.9,2025-01-03 06:10:14,2025-06-16 23:27:18,/schedule-demo
CL10077,7,7,7,0,1,0,0,1,2,0,363.0,2025-01-27 04:47:04,2025-05-31 08:51:10,/services
CL10078,12,12,12,2,2,0,0,0,4,2,452.2,2025-01-10 20:10:20,2025-06-26 21:45:07,/pricing
CL10079,6,6,6,2,0,0,0,0,2,1,735.7,2025-01-17 07:06:41,2025-06-11 14:56:33,/schedule-demo
CL10080,7,7,7,1,0,0,0,1,2,0,519.0,2025-01-10 23:44:07,2025-04-07 00:12:15,/
CL10081,9,9,9,0,0,0,0,0,0,0,398.9,2025-01-26 03:25:26,2025-06-17 17:50:09,/
CL10082,13,13,13,0,2,1,0,0,3,1,420.0,2025-01-13 22:23:04,2025-06-29 22:33:51,/
CL10083,3,3,3,2,1,0,0,0,3,0,401.0,2025-02-20 22:22:43,2025-04-13 22:20:23,/schedule-demo
CL10084,9,9,9,0,0,0,0,0,0,2,609.0,2025-02-24 04:09:07,2025-06-19 17:49:07,/services
CL10085,11,11,11,0,1,0,0,0,1,0,536.9,2025-01-07 11:00:18,2025-06-28 15:05:34,/
CL10086,12,12,12,1,0,0,0,0,1,0,444.1,2025-01-03 04:30:09,2025-05-22 12:11:31,/pricing
CL10087,6,6,6,0,0,0,0,0,0,0,520.2,2025-01-17 01:58:45,2025-05-18 16:27:40,/services
CL10088,7,7,7,0,2,0,0,0,2,0,520.0,2025-01-30 11:25:23,2025-06-03 06:16:27,/
CL10089,10,10,10,1,0,0,0,0,1,1,426.7,2025-01-30 08:30:10,2025-06-29 22:12:20,/
CL10090,9,9,9,1,0,0,0,0,1,1,659.0,2025-01-11 05:49:10,2025-06-10 09:55:18,/
CL10091,12,12,12,1,0,0,0,0,1,1,568.8,2025-01-04 05:58:13,2025-06-04 19:44:31,/pricing
CL10092,9,9,9,2,1,0,1,0,4,0,458.2,2025-01-10 11:49:25,2025-05-16 06:33:19,/
CL10093,10,10,10,1,0,2,0,1,4,0,460.7,2025-01-17 01:48:33,2025-06-08 12:33:33,/pricing
CL10094,11,11,11,3,0,0,0,0,3,0,464.1,2025-02-03 04:23:02,2025-06-28 14:44:51,/
CL10095,7,7,7,0,1,3,0,0,4,0,480.6,2025-01-10 19:02:10,2025-05-01 16:47:33,/events/webinar
